Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 9,Science,Life Sciences,"9-5-1-3-6 Describing the concept of biomass and its sources, and identifying its importance in biofuel production and reducing carbon emissions.","3. Explaining the efforts of the Kingdom of Saudi Arabia to reduce carbon emissions and their impacts, and providing examples of these efforts."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.","1. Distinguishing the structure of the chromosome, and the relationship between its components. Explaining the concept of a gene, identifying its components and its location on the chromosome, and explains the occurrence of genetic mutation and its effects on making protein in the cell."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.","3. Clarifying the concept of genetics and its principles and explaining how traits are inherited, and explaining the role of alleles."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.","4. Distinguishing between homozygous and heterozygous genes, distinguish between homozygous genes organisms and non- homozygous organisms, and providing an example of each."
Grade 9,Science,Life Sciences,"9-5-1-4-1 Describing the development of genetics, and the use of Mendelian laws to explain the inheritance of genetic traits, and the probabilities of their appearance in different generations.",5. Calculating the probability of the appearance of genetic characteristics of living organisms using the Punnett square.
Grade 9,Science,Life Sciences,"9-5-1-4-2 Describing the structure of the chromosome and the relationship between its components, and predicting the results of the defects that occur in the genetic chain when genetic mutations occur and their effects.","1. Explaining atomic models and their development throughout history, evaluating them and describing their results, and relating that to aspects of the nature of science and the development of scientific knowledge."
Grade 9,Science,Life Sciences,"9-5-1-4-2 Describing the structure of the chromosome and the relationship between its components, and predicting the results of the defects that occur in the genetic chain when genetic mutations occur and their effects.","3. Comparing nucleic acids, DNA and RNA, and describing their shapes and structures, importance and functions of each type."
Grade 9,Science,Physical Sciences,"9-5-2-1-1 Explaining the development of the atomic model throughout history, and understanding the structure and components of the atom.","2. Illustrating the components of the atom's nucleus (protons and neutrons) and their properties, describing the movement of electrons (electronic cloud) around the nucleus, and determining the number of protons, neutrons and electrons in the atom of the elements based on their atomic numbers."
Grade 9,Science,Physical Sciences,"9-5-2-1-1 Explaining the development of the atomic model throughout history, and understanding the structure and components of the atom.","3. Defining isotopes, providing an example of them, comparing isotopes of an element according to mass and atomic numbers, explaining the meaning of radioactive decay, and how it occurs, and differentiating between it and radioactive transformation."
Grade 9,Science,Physical Sciences,"9-5-2-1-2 Comparing between compounds and mixtures, classifying mixtures, suggesting appropriate methods to separate their components, and distinguishing between types of solutions and their components.",2. Classifying homogeneous and heterogeneous mixtures according to the nature of their components.
Grade 9,Science,Physical Sciences,"9-5-2-1-3 Determining the concept of solubility, the rate of solubility in a solution, and deducing the factors affecting the solubility rate of a solute in","1. Explaining the properties of liquids (viscosity, surface tension) according to the composition of the substance, the arrangement of its molecules, and the forces between them."
Grade 9,Science,Physical Sciences,"9-5-2-1-3 Determining the concept of solubility, the rate of solubility in a solution, and deducing the factors affecting the solubility rate of a solute in",2. Inferring the effect of temperature and compound composition on the solubility of a solution and explaining it.
Grade 9,Science,Physical Sciences,"9-5-2-1-3 Determining the concept of solubility, the rate of solubility in a solution, and deducing the factors affecting the solubility rate of a solute in",3. Inferring the factors affecting the rate of solubility of the solute in the solvent for different types of solutions.
Grade 9,Science,Physical Sciences,"9-5-2-1-4 Explaining the properties of liquids, comparing crystalline and amorphous solids, and describing the pattern of crystals in solids.","2. Explaining the properties of the elements in the periodic table sectors within the period and group, and lists the uses of the common elements around it."
Grade 9,Science,Physical Sciences,"9-5-2-1-5 Describing the history of the periodic table, explaining how the elements are organized in the periodic table, and the properties of the elements and their common uses.","4. Recognizing the location of the representative elements, the transitional elements, and the inner transition (lanthanides and actinides) in the periodic table, based on their electronic composition, predicting their physical and chemical properties, and identifying some of their uses."
Grade 9,Science,Physical Sciences,"9-5-2-1-5 Describing the history of the periodic table, explaining how the elements are organized in the periodic table, and the properties of the elements and their common uses.","5. Explaining the meaning of processed elements and catalyst, and providing examples for each."
Grade 9,Science,Physical Sciences,"9-5-2-1-7 Explaining how atoms bond with each other, identifying what is a chemical bond and how it is formed, and distinguishing between different types","4. Explaining the concept of a chemical bond, comparing its different types (ionic, covalent, metallic, and polar), and describing how atoms are linked together by different chemical bonds to form compounds, using examples and illustrative models."
Grade 9,Science,Physical Sciences,"9-5-2-1-8 Understanding how a chemical reaction occurs, expressing it in a balanced chemical equation based on the law of conservation of mass, and distinguishing chemical reactions according to the energy associated with",2. Describing a chemical reaction using a balanced verbal and symbolic chemical equation and apply the law of conservation of mass to different chemical reactions.
Grade 9,Science,Physical Sciences,"9-5-2-1-8 Understanding how a chemical reaction occurs, expressing it in a balanced chemical equation based on the law of conservation of mass, and distinguishing chemical reactions according to the energy associated with","3. Listing the different forms of energy associated with chemical reactions (absorbed, released), and providing examples thereof."
