Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 6,Science,Life Sciences,"6-5-1-3-3 Representing the relationships between living organisms in which matter is circulated in the ecosystem, and identifying the relationship between plants and energy obtained from the sun to produce food.",2. Classifying living organisms into (autotrophic - heterotrophic).
Grade 6,Science,Life Sciences,"6-5-1-3-3 Representing the relationships between living organisms in which matter is circulated in the ecosystem, and identifying the relationship between plants and energy obtained from the sun to produce food.",3. Explaining the process of photosynthesis and its role in determining the relationship between plants and the energy obtained from the sun to produce food.
Grade 6,Science,Life Sciences,6-5-1-3-4 Describing the effect of environmental changes on plants and animals that live in specific environments. Inferring how behavioral and structural adaptations can help plants and animals survive in their habitats,1. Identifying the physical factors that affect the survival of plants and animals in specific habitats
Grade 6,Science,Life Sciences,6-5-1-3-4 Describing the effect of environmental changes on plants and animals that live in specific environments. Inferring how behavioral and structural adaptations can help plants and animals survive in their habitats,4. Describing the climatic conditions in different environments and their impact on living organisms.
Grade 6,Science,Life Sciences,"6-5-1-3-5 Inferring the impact of human activity on environmental habitats and populations, and predicting its effect, proposing solutions for their protection","1. Explaining human interaction with environments, and inferring the positive and negative impact of human activities on the environmental habitats and populations."
Grade 6,Science,Life Sciences,"6-5-1-3-5 Inferring the impact of human activity on environmental habitats and populations, and predicting its effect, proposing solutions for their protection",2. Identifying natural environmental events of the Kingdom of Saudi Arabia and predicting their positive and negative impacts.
Grade 6,Science,Life Sciences,"6-5-1-3-5 Inferring the impact of human activity on environmental habitats and populations, and predicting its effect, proposing solutions for their protection",3. Proposing solutions to protect the earth's resources and preserve the environment.
Grade 6,Science,Life Sciences,"6-5-1-4-1 Identifying the inheritance of traits, explaining the variation in them, tracing their transmission from one generation to the next, distinguishing their types (dominant and recessive), and clarifying the impact of the environment on them.","5. Identifying some of the environmental factors that affect the acquired traits of animals and plants (the amount of food, the amount of water, the amount of animal movement), and identifying the traits that are affected by environmental factors (height, weight, and color)."
Grade 6,Science,Physical Sciences,"6-5-2-1-1 Exploring the physical properties of matter, distinguishing the molecular structure of its different states, and explaining the change of matter states due to heat.","2. Distinguishing the different materials in terms of the physical properties of the substance that can be calculated or measured, such as mass, volume, density, buoyancy, color and boiling point"
Grade 6,Science,Physical Sciences,"6-5-2-1-1 Exploring the physical properties of matter, distinguishing the molecular structure of its different states, and explaining the change of matter states due to heat.",5. Explaining the changes of matter due to the effect of heat.
Grade 6,Science,Physical Sciences,"6-5-2-1-2 Distinguishing between compounds and mixtures and their types, explaining chemical changes of matter and the related concepts and methods, and comparing the masses of substances when their properties change based on the law of conservation of mass.",4. Explaining the concept of solubility and gives the factors affecting it.
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,"1. Explaining the relationship between gravitational force and the weights of objects, and identifying the factors that affect it."
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,"2. Define velocity and its unit, calculating velocity by knowing distance and time, and distinguishing between speed and velocity."
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,"3. Defining acceleration and its unit, calculating acceleration by knowing the change in velocity and time, and showing the effect of changing the direction of movement on acceleration."
Grade 6,Science,Physical Sciences,6-5-2-2-2 Understanding Newton›s three laws of motion and using them to explain body motion,4. Explaining Newton's three laws of motion and their real life applications.
Grade 6,Science,Physical Sciences,"6-5-2-2-3 Explaining the factors affecting types of forces, such as gravitational force, friction, and magnetism.",1. Explaining the concept of energy and work based on their role and impact on bodies.
Grade 6,Science,Physical Sciences,"6-5-2-2-3 Explaining the factors affecting types of forces, such as gravitational force, friction, and magnetism.","2. Explaining how frictional force is generated and the factors affecting its magnitude, and explaining the effect of air resistance on the motion of objects."
Grade 6,Science,Physical Sciences,"6-5-2-3-1 Understanding the concept of energy and work, distinguishing between them, and giving real life examples .",2. Explaining the concept of potential energy and kinetic energy and their relationship to body movement.
Grade 6,Science,Physical Sciences,"6-5-2-3-1 Understanding the concept of energy and work, distinguishing between them, and giving real life examples .","3. Selectsing the simple machine that facilitates completing a task from among different machines, and provides examples of the benefits of simple machines in everyday life"
